,authors,citation_count,article_count
9340,"Solbrig, H",20,3
4325,"Hübner, U",20,16
4950,"Kim, J",20,9
9075,"Shaban-Nejad, A",20,8
9388,"Soualmia, L",20,15
7029,"Niazkhani, Z",20,4
9946,"Tibollo, V",20,4
5538,"Laurent, G",20,1
2612,"El Amrani, M",20,1
5379,"Kuwata, S",20,4
1978,"Cruchet, S",20,3
9910,"Thiessard, F",20,7
1163,"Bouzille, G",19,16
8279,"Richard, J",19,7
2476,"Duhamel, A",19,7
9051,"Seroussi, B",19,18
1816,"Ciric, D",19,1
844,"Bernicot, T",19,1
7993,"Pulja, A",19,1
7336,"Otero, C",19,8
5318,"Kulasin, I",19,1
5726,"Li, X",19,12
8407,"Rogers, J",19,6
396,"Arsand, E",19,6
7619,"Pereira, S",19,9
6176,"Mantas, J",19,28
10628,"Warren, J",19,6
3159,"Gajanayake, R",19,3
5828,"Liu, C",19,10
7526,"Pathak, J",19,4
5794,"Lindgren, H",19,11
2550,"Ebrahiminia, V",19,5
1198,"Brandner, A",19,6
5313,"Kujala, S",19,5
3240,"Garin, E",19,1
10596,"Walters, E",18,1
9661,"Sunnerhagen, K",18,3
4449,"Jacquemart, P",18,2
2246,"Desmarais, P",18,1
3947,"Hauser, J",18,1
2795,"Fatehi, F",18,3
800,"Beranger, J",18,1
1303,"Bruland, P",18,3
2933,"Fitzpatrick, P",18,1
7846,"Poly, T",18,3
4050,"Heponiemi, T",18,3
9402,"Spackman, K",18,3
5582,"Le Mignot, L",18,5
3977,"Hege, I",18,6
765,"Ben Said, M",18,10
5505,"Lapão, L",18,12
8208,"Reid, D",18,1
8984,"Segagni, D",18,2
5693,"Leslie, H",18,3
1278,"Broeren, J",18,3
2525,"Dzananovic, A",18,2
4628,"Juhola, M",18,22
7675,"Petitgand, C",18,1
6430,"McNicoll, I",18,4
881,"Beuscart-Zephir, M",18,13
2033,"Dagliati, A",18,2
8560,"Rydmark, M",18,3
7146,"Novo, A",18,2
1116,"Botsis, T",18,8
4552,"Jessup, M",18,1
3613,"Greer, M",18,8
4418,"Islam, M",18,3
7628,"Perez, L",18,1
6325,"Masic, Z",18,2
2738,"Eysenbach, G",18,5
1120,"Bott, O",18,8
10024,"Toromanovic, S",18,2
1487,"Cameron-Tucker, H",18,1
7779,"Pirnejad, H",18,4
1564,"Carvalho, L",17,1
2018,"D'Addio, G",17,9
3657,"Gruendner, J",17,3
8048,"Quenel, P",17,1
2990,"Fossum, S",17,1
2939,"Flamand, C",17,1
5569,"Le Beux, P",17,25
9838,"Teisseire, M",17,2
9617,"Stürzl, M",17,2
10613,"Wang, Y",17,6
3778,"Habermann, J",17,2
3364,"Giacomini, M",17,27
10998,"Zambelli, A",17,3
7690,"Pettersen, G",17,1
702,"Beale, T",17,3
1498,"Campos, F",17,4
9727,"Séroussi, B",17,15
4748,"Kannry, J",17,1
367,"Ardillon, V",17,1
3204,"Ganzinger, M",17,14
823,"Bergvik, S",17,1
4942,"Kilsdonk, E",17,3
10093,"Trombert, B",17,5
846,"Bernonville, S",17,3
6997,"Neuhaus, P",17,6
1972,"Croner, R",17,2
4466,"Jais, J",17,12
7263,"Oliveira, J",17,17
2801,"Faxvaag, A",17,17
4228,"Hoveidamanesh, S",16,1
5301,"Kudumovic, M",16,1
674,"Baujat, G",16,2
4044,"Henriksen, E",16,4
4292,"Huxley, C",16,1
3350,"Ghanavati, R",16,1
4216,"Horsch, A",16,17
9847,"Ten Teije, A",16,2
10356,"Vassilacopoulos, G",16,15
6558,"Meystre, S",16,3
7607,"Pensold, P",16,5
2483,"Dumontier, M",16,2
9509,"Stein, K",16,5
6683,"Mohammadi, R",16,1
720,"Bedra, M",16,1
8120,"Rama, A",16,1
6394,"Mazzoleni, M",16,15
464,"Ayatolahi Tafti, M",16,1
1701,"Chen, C",16,7
6875,"Müller, H",16,15
7710,"Pharow, P",16,17
568,"Bander, I",16,1
6122,"Malamateniou, F",16,14
10681,"Weiss, N",16,5
3675,"Gude, W",16,4
10975,"Yüksekogul, N",16,5
3718,"Guso, E",16,1
8378,"Rochat, J",16,8
11033,"Zeleke, A",16,6
5246,"Krefting, D",16,14
554,"Balta, E",16,1
85,"Aguduri, L",16,5
8370,"Robles, M",16,6
7418,"Panahiazar, M",16,3
202,"Alkhaldi, B",16,1
637,"Basic, M",16,1
10240,"Ustün, B",16,2
1771,"Choquet, R",16,4
663,"Baud, R",16,15
5746,"Lichtner, V",15,5
9806,"Taslimitehrani, V",15,1
3250,"Garza, M",15,5
1242,"Briand, S",15,5
3265,"Gaudet-Blavignac, C",15,11
10541,"Vossen, G",15,2
953,"Bitaraf, E",15,6
3784,"Hackl, W",15,7
2034,"Dahamna, B",15,10
9767,"Taliercio, V",15,3
9569,"Storck, M",15,13
1676,"Chatellier, G",15,9
7948,"Priori, S",15,2
10868,"Xie, G",15,16
4225,"Househ, M",15,8
5028,"Knaup-Gregori, P",15,5
2176,"Del Fiol, G",15,3
7025,"Nguyen, T",15,5
9022,"Sengstag, T",15,2
858,"Bertelsen, P",15,12
11257,"van der Haring, E",15,5
5601,"Lechtenbörger, J",15,2
8728,"Sass, J",15,6
8003,"Purnat, T",15,4
9906,"Thiemann, V",15,3
4297,"Hyppönen, H",15,9
8713,"Saranto, K",15,16
1513,"Cao, F",15,4
5687,"Leroy, N",15,7
4902,"Kern, J",15,16
2390,"Doods, J",15,3
6331,"Massari, P",15,7
6063,"Madden, R",15,3
2183,"Delamarre, D",15,13
2810,"Fegeler, C",15,8
7618,"Pereira, N",15,1
7217,"Oemig, F",15,11
4683,"Kajiwara, M",15,1
94,"Ahlfeldt, H",15,6
5059,"Kock-Schoppenhauer, A",14,9
11039,"Zenker, S",14,4
5030,"Knijnenburg, S",14,2
3455,"Gobeill, J",14,10
2410,"Doupi, P",14,4
6153,"Mang, J",14,2
11234,"van Soest, J",14,2
7920,"Preda, C",14,3
5057,"Kock, A",14,5
7199,"O'Sullivan, D",14,3
4765,"Kapsner, L",14,2
2469,"Dufresne, E",14,5
2466,"Dufour, E",14,3
1026,"Bodenreider, O",14,5
6357,"Matthies, F",14,3
2477,"Duhm-Harbeck, P",14,3
3297,"Geleijnse, G",14,1
11008,"Zanstra, P",14,6
9109,"Sharp, M",14,1
10304,"Van Maaren, M",14,1
8266,"Riazi, H",14,2
9054,"Serrano, P",14,6
2467,"Dufour, J",14,9
5975,"Lungeanu, D",14,15
4272,"Hund, H",14,5
4287,"Hussain, S",14,3
7265,"Oliven, A",14,2
2470,"Duftschmid, G",14,12
10283,"Van Casteren, V",14,5
901,"Bialke, M",14,2
204,"Allaert, F",14,13
4320,"Hörhammer, I",14,3
5370,"Kusec, S",14,2
4032,"Hendriks, M",14,1
5650,"Leis, A",14,3
10763,"Williams, R",14,5
2598,"Eils, R",14,3
10834,"Wu, C",14,2
6703,"Moncada-Torres, A",14,1
2566,"Egbert, N",14,4
1272,"Brochhausen, M",14,5
5785,"Lind, L",14,3
754,"Bellika, J",14,12
8537,"Ruland, C",14,2
6538,"Messiaen, C",14,2
8106,"Rajalahti, E",14,3
1986,"Cruz-Correia, R",14,13
2214,"Denaxas, S",14,3
8065,"Quiros, F",14,2
4495,"Jansen, T",14,2
5577,"Le Duff, F",14,10
10513,"Vognild, L",14,2
92,"Ahlbrandt, J",14,3
3851,"Hampf, C",14,2
739,"Beisswanger, E",13,1
10800,"Wolf, K",13,13
7996,"Punys, V",13,10
9454,"Staggers, N",13,5
7264,"Oliveira, M",13,2
1145,"Bourdon-Lanoy, E",13,1
468,"Ayme, S",13,1
9433,"Splendiani, A",13,1
3749,"Gøeg, K",13,10
580,"Bar-Or, D",13,4
4919,"Khairat, S",13,4
7633,"Perinati, L",13,2
5069,"Kohlbacher, O",13,1
515,"Bahls, T",13,1
5581,"Le Merrer, M",13,1
1557,"Carrasqueiro, S",13,1
6870,"Müller, A",13,4
6275,"Martin-Sanchez, F",13,6
4455,"Jafarpour, M",13,4
6279,"Martinez, M",13,2
5463,"Lam, M",13,1
3328,"Gerard-Blanluet, M",13,1
4730,"Kampf, M",13,1
7462,"Pape-Haugaard, L",13,8
11272,"van der Veer, S",13,3
5618,"Lee, V",13,1
8651,"Salomon, R",13,1
2707,"Eslami, S",13,10
6435,"Mead, C",13,2
8157,"Rath, A",13,1
10205,"Uckert, F",13,9
2657,"Encarnação, P",13,1
6413,"McDonald, C",13,2
7561,"Pearl, A",13,4
1669,"Charlet, J",13,16
4237,"Hristovski, D",13,4
7658,"Peterlin, B",13,2
2116,"De Clercq, E",13,6
3769,"Haarbrandt, B",13,3
8184,"Rebholz-Schuhmann, D",13,2
4827,"Kasprzak, P",13,1
5018,"Klopfenstein, S",13,11
1024,"Bodemer, C",13,1
10409,"Verloes, A",13,1
8813,"Schillinger, D",13,1
4164,"Hoffmann, W",13,3
5723,"Li, J",13,8
4271,"Humphrey, S",13,1
1216,"Brborovic, O",13,1
10044,"Toussaint, P",13,11
10816,"Wong, M",13,8
2384,"Dongelmans, D",13,5
2597,"Eils, J",13,1
5091,"Koledova, E",12,6
4715,"Kalra, D",12,15
4429,"Issom, D",12,6
4015,"Hellrich, J",12,4
5381,"Kuziemsky, C",12,7
1530,"Carbonell, P",12,1
9614,"Stöhr, M",12,5
10579,"Walcher, F",12,2
913,"Bifulco, P",12,3
10923,"Yee, K",12,7
1193,"Brammen, D",12,4
4379,"Improta, G",12,1
3474,"Goldberg, L",12,1
6127,"Malic, A",12,1
10775,"Winkens, R",12,3
10688,"Welch, B",12,1
5223,"Kraaijenhagen, R",12,2
6124,"Maldonado, J",12,6
3483,"Goldschmidt, Y",12,3
1346,"Buckeridge, D",12,8
4194,"Holzinger, A",12,2
3919,"Hasman, A",12,19
1463,"Cajander, Å",12,10
10770,"Wilson, H",12,1
1266,"Brix, T",12,8
9646,"Sun, C",12,1
8435,"Romano, M",12,4
8610,"Safran, C",12,3
9430,"Spithoven, R",12,1
1214,"Bravo, À",12,1
9068,"Sexton, K",12,3
7773,"Piras, E",12,4
7239,"Ohmann, C",12,8
6708,"Monkman, H",12,19
2935,"Fizzotti, G",12,3
11231,"van Oppen, C",12,1
2551,"Eccher, C",12,3
11244,"van den Berg, B",12,1
7014,"Newlin, T",12,1
127,"Akhlaghpour, S",12,3
9763,"Takeda, T",12,12
7783,"Pistarini, C",12,3
6845,"Mussmann, O",12,1
7343,"Ottmar, P",12,1
6354,"Matsumura, Y",12,12
6404,"McCall, T",12,1
8032,"Qiao, Z",12,2
6595,"Mihara, N",12,9
2799,"Faviez, C",12,6
6877,"Müller, M",12,7
2601,"Eisenstein, E",12,4
6513,"Merabti, T",12,6
2603,"Eisner, J",12,1
10131,"Tsopra, R",12,18
1627,"Cesarelli, M",12,4
10047,"Towend, D",12,1
7127,"Nonnemacher, M",12,3
8012,"Puts, M",12,1
2760,"Falcoff, H",12,6
8329,"Riou, C",12,3
11174,"de Jongh, D",12,1
458,"Avillach, P",12,3
2846,"Fernández-Breis, J",11,9
523,"Baio, G",11,1
290,"Andersen, R",11,1
1321,"Bruunshuus, I",11,1
268,"Amável, R",11,1
9386,"Soto-Rey, I",11,6
4059,"Herings, R",11,1
1327,"Bryhni, T",11,1
5639,"Lehoullier, F",11,1
5546,"Lauteslager, A",11,1
3060,"Frias-Bulhosa, J",11,1
8212,"Reinecke, I",11,8
5894,"Lopez, V",11,4
9559,"Stoicu-Tivadar, L",11,26
3707,"Gundlapalli, A",11,2
6466,"Meineke, F",11,4
1648,"Chan, T",11,1
3129,"Férard, G",11,1
3110,"Furlong, L",11,3
3094,"Fuentes-Arderiu, X",11,1
3810,"Hague, N",11,1
1328,"Brynhi, H",11,1
6602,"Miksch, S",11,3
1703,"Chen, H",11,9
3003,"Fourrier-Réglat, A",11,1
5714,"Lewalle, P",11,4
2984,"Forsum, U",11,3
6699,"Molokhia, M",11,1
4080,"Hertzum, M",11,9
5624,"Lefering, R",11,1
3990,"Heimly, V",11,6
8704,"Sanz, F",11,6
6957,"Nave, R",11,1
4112,"Hill, G",11,1
7476,"Pariente, A",11,1
9236,"Sinaci, A",11,3
8910,"Schuler, T",11,2
11251,"van der Aa, A",11,1
1976,"Crowner, C",11,1
7348,"Ouagne, D",11,4
7385,"Paglialonga, A",11,7
7431,"Panis, B",11,1
2008,"Curcin, V",11,7
11275,"van der Weijden, T",11,1
7481,"Park, H",11,12
10697,"Wendt, T",11,4
4536,"Jensen, H",11,2
7499,"Parvanova, I",11,8
10256,"Vaitsis, C",11,5
4592,"Johnson, O",11,4
4595,"Joint Committee on Nomenclature, Properties and Units (C-SC-NPU) of the IFCC and IUPAC",11,1
7571,"Pedersen, L",11,1
4679,"Kaiser, K",11,3
4739,"Kang, D",11,1
9065,"Severens, J",11,1
