,authors,citation_count,article_count
7232,"Ohashi, W",3,1
2464,"Duff, F",3,1
1930,"Cots, F",3,1
6653,"Mitchell, M",3,1
6650,"Misbach, M",3,2
2226,"Deparis, S",3,1
8093,"Rahman, Y",3,1
7161,"Nuttens, M",3,2
360,"Araujo, M",3,1
10380,"Velinov, G",3,1
6730,"Morand, P",3,1
354,"Appel, R",3,1
7210,"Odama, A",3,1
8115,"Rakovac, I",3,3
11226,"van Klei, W",3,1
7192,"O'Mahony, D",3,1
6698,"Mollevi, C",3,1
165,"Albrecht, U",3,5
2239,"Descloux, C",3,1
348,"Antunes, R",3,1
2242,"Deshpande, S",3,2
2237,"Des Diz, J",3,1
6669,"Modersohn, L",3,2
11126,"Zubke, M",3,1
7849,"Pomares-Quimbaya, A",3,2
1993,"Cufar, A",3,1
11227,"van Mens, H",3,1
6676,"Moffie, M",3,1
169,"Alcaraz, M",3,1
7244,"Ojeda, V",3,1
8128,"Ramu, P",3,1
8169,"Ravesloot, J",3,1
7246,"Okada, K",3,3
6597,"Mikalsen, M",3,3
10125,"Tsikrika, T",3,1
373,"Arguello Casteleiro, M",3,1
2206,"Demkjaer, K",3,3
10334,"Vargas-Canas, R",3,1
10224,"Umbach, N",3,1
2203,"Demetriou, G",3,1
6582,"Michot, C",3,1
2009,"Curcoll, L",3,1
330,"Ansoborlo, M",3,3
8078,"Radetzky, A",3,1
383,"Armasu, S",3,1
7291,"Opitz, T",3,1
7800,"Planas, I",3,1
10155,"Turbe, H",3,1
2005,"Cuoco, E",3,1
7877,"Portabella, J",3,1
1904,"Cornelisse, L",3,2
7157,"Nunez, H",3,1
10148,"Tulo, S",3,2
2471,"Dugas, D",3,1
6736,"Moreault, M",3,1
1915,"Corrigan, D",3,1
361,"Arbous, M",3,1
10383,"Veloso, M",3,4
7867,"Popescu, M",3,4
7262,"Oliveira, I",3,2
11119,"Zoumpoulis, P",3,1
140,"Al Sanousi, A",3,1
7871,"Porat, T",3,1
6619,"Miller, R",3,1
10336,"Vari, S",3,2
7149,"Novotny, D",3,1
7450,"Papadelis, C",3,2
6700,"Moltubakk Kempton, A",3,1
7916,"Prcela, M",3,1
2322,"Dimitriadis, V",3,4
2099,"Davies, D",3,1
8305,"Riepenhausen, S",3,3
7013,"Newe, A",3,1
2098,"Davies, B",3,1
7567,"Pedernera, F",3,2
6244,"Markó, K",3,3
24,"Abdellatif, A",3,2
6933,"Nap, H",3,2
7012,"Newby, L",3,1
7953,"Procter, P",3,3
23,"Abdellaoui, R",3,1
1960,"Crespo, J",3,4
518,"Baiardi, P",3,4
2617,"El Helou, E",3,1
8327,"Rio, S",3,1
7563,"Pears, M",3,1
6253,"Marquez Fosser, S",3,1
462,"Axelsson, M",3,1
496,"Back, B",3,1
6895,"Naderi, N",3,3
8292,"Ridderstolpe, L",3,1
8296,"Riedl, B",3,1
7688,"Petrovecki, M",3,2
7533,"Patrão, D",3,1
38,"Abou-Khalil, V",3,2
1957,"Crepain, T",3,1
7562,"Pearman, A",3,1
2109,"Dayama, P",3,2
10204,"Ucer Yediel, Y",3,1
7024,"Nguyen, P",3,2
6265,"Martens, U",3,3
7018,"Nghiem, D",3,1
7662,"Peterschmitt, J",3,1
7573,"Pedersen, R",3,4
7576,"Pedrera-Jimenez, M",3,2
8015,"Pyykkö, I",3,4
6204,"Marco-Ruiz, L",3,5
2641,"Ellis, N",3,2
8357,"Robert, H",3,1
8358,"Robert, L",3,1
7606,"Penning, M",3,3
2063,"Danger, R",3,1
7,"Aanestad, M",3,2
6984,"Nenadic, G",3,1
2080,"Dart, T",3,2
6151,"Manesis, E",3,1
7609,"Penz, R",3,2
7615,"Pereira Choupina, H",3,1
10048,"Tractenberg, R",3,2
6148,"Mandirola Brieux, H",3,2
6973,"Negi, S",3,1
2073,"Daowd, A",3,3
7642,"Perri, S",3,1
2344,"Divina, F",3,1
6158,"Manickam, S",3,2
11192,"de la Calle, G",3,3
10055,"Traore, L",3,2
7005,"Neuraz, A",3,3
2091,"Daumke, P",3,2
6943,"Narváez, S",3,1
6192,"Marceglia, S",3,5
6999,"Neumaier, M",3,1
1848,"Coatrieux, G",3,11
539,"Balasubramaniam, N",3,1
222,"Alonso, E",3,1
7986,"Pugliano, L",3,1
10302,"Van Leeuwen, J",3,1
11037,"Zeller, S",3,1
223,"Alonso-Calvo, R",3,1
15,"Abadie, D",3,2
7510,"Pasic, E",3,1
8304,"Rienhoff, O",3,4
2302,"Diederichs, S",3,1
7491,"Parra, R",3,1
7063,"Nienhuis, R",3,1
10075,"Triantis, D",3,2
6888,"N'dja, A",3,1
7038,"Nicola, S",3,3
7498,"Parv, L",3,2
2581,"Ehnfors, M",3,1
8270,"Ribeiro, L",3,2
473,"Aze, J",3,1
2289,"Diana, E",3,1
2291,"Dias, G",3,1
7066,"Nifakos, S",3,2
8277,"Richard, A",3,1
2293,"Diaz Maffini, M",3,2
6321,"Maseda Fernandez, D",3,1
7065,"Nieto Cervera, J",3,1
8023,"Pérez-Rey, D",3,2
7715,"Philips, M",3,1
463,"Ayala, F",3,3
7503,"Paré, G",3,1
487,"Babitsch, B",3,4
2584,"Ehrhardt, J",3,3
483,"Baardsgaard, A",3,1
7505,"Pascale, A",3,1
2298,"Dickmann, C",3,2
8265,"Riazanov, A",3,1
8273,"Ricci, A",3,2
7036,"Nicklin, P",3,1
56,"Acker, T",3,1
471,"Ayzit, D",3,1
11208,"van Bemmel, J",3,2
4504,"Janzen, S",2,1
9167,"Shutsko, A",2,1
7168,"Nyssen, M",2,3
1082,"Borgwardt, K",2,1
4523,"Jeffreys, N",2,2
4351,"Ijams, S",2,2
4644,"Junker, V",2,1
9112,"Sheik, A",2,1
6987,"Ness, S",2,1
9254,"Sips, R",2,2
7906,"Pozo, J",2,1
1134,"Boudis, F",2,1
7058,"Nielsen, P",2,2
1178,"Boytcheva, S",2,1
7052,"Nielsen, A",2,2
7960,"Pronkina, T",2,3
10760,"Williams, J",2,2
7171,"Nytrø, Ø",2,3
1126,"Bouarech, K",2,1
1127,"Bouattour, S",2,1
7853,"Pompl, R",2,1
7977,"Przysucha, M",2,3
7085,"Nilsson, I",2,2
4681,"Kajbjer, K",2,3
4680,"Kaiser, L",2,1
4291,"Hustinx, A",2,1
4678,"Kaiser, F",2,1
10730,"Wickham, A",2,2
7973,"Pruski, C",2,3
7189,"O'Brien, T",2,1
4308,"Håkansson, P",2,1
4534,"Jensch, P",2,2
4312,"Höfer, S",2,1
4559,"Jiang, L",2,1
6978,"Neiss, A",2,1
4318,"Hölzer, S",2,8
4319,"Hörbst, A",2,3
4666,"Kacki, E",2,6
7176,"Nätscher, C",2,3
7091,"Nishihara, Y",2,1
7071,"Nikiema, J",2,2
7158,"Nurhussien, F",2,1
4657,"Jørgensen, L",2,1
10736,"Wienhofen, L",2,1
7859,"Pons, A",2,1
7933,"Price, C",2,1
4458,"Jagannatha, S",2,1
9276,"Skogh, T",2,1
4501,"Jansson, J",2,1
4482,"Jamoulle, M",2,1
4633,"Jung, C",2,1
4403,"Iqbal, U",2,2
4632,"Jung, B",2,3
4411,"Ishankulov, T",2,3
7940,"Primadhanty, A",2,1
4479,"James, J",2,1
10785,"Wiss-Thebault, M",2,1
1162,"Bouzid, H",2,1
9206,"Silva, M",2,1
1155,"Bousquet, T",2,1
1101,"Bosh, G",2,1
9180,"Siegemund, M",2,1
9181,"Siekkinen, M",2,1
4431,"Ittoo, A",2,1
10784,"Wisniewski, F",2,1
207,"Allescher, H",2,2
7945,"Prinz, M",2,2
1092,"Borst, F",2,7
4450,"Jacques, J",2,1
7944,"Prins, H",2,2
4471,"Jakob, S",2,1
7034,"Nicholson, B",2,1
7942,"Prince, A",2,2
7898,"Poulter, T",2,2
10752,"Wilhelmy, I",2,1
4613,"Joseph, A",2,2
7950,"Pritzkuleit, R",2,1
186,"Alexandrova, I",2,1
7888,"Postel-Vinay, N",2,1
9172,"Sickert, S",2,1
9245,"Singh, H",2,2
9237,"Sinciene, V",2,1
7048,"Niczko, E",2,1
7937,"Prieto Cebreiro, J",2,1
4498,"Janssen, A",2,1
10776,"Winnberg, P",2,1
4456,"Jaffe, C",2,2
178,"Alejandris, J",2,1
9171,"Sick, R",2,1
4637,"Jung, O",2,1
7008,"Neuvirth, H",2,1
1168,"Bowrin, P",2,2
11217,"van Engen-Verheul, M",2,1
9221,"Simon, M",2,2
180,"Alemany, M",2,1
7939,"Prijatelj, V",2,2
4385,"Ing Lorenzini, K",2,1
4389,"Innes, K",2,1
4493,"Jansen, K",2,1
4603,"Jones, R",2,4
7104,"Nkhom, D",2,1
1086,"Born, J",2,1
181,"Alemu Gelaye, K",2,1
4606,"Jonquet, C",2,1
7883,"Portouli, E",2,1
4486,"Janka, Z",2,1
4502,"Jantzen, R",2,1
6142,"Mamuye, A",2,1
4281,"Hurst, S",2,1
9511,"Stein, R",2,1
7478,"Paris, N",2,1
7703,"Pfeiffer, K",2,6
3886,"Harcourt, S",2,1
7480,"Park, G",2,1
3870,"Hanser, S",2,2
7484,"Park, M",2,1
9475,"Stanziola, E",2,2
7699,"Pfeifer, D",2,3
3858,"Hangaard, S",2,16
7487,"Parker, L",2,1
7490,"Parra, C",2,2
3854,"Hanbury, A",2,2
9478,"Stark, G",2,1
1386,"Busch, H",2,2
58,"Acosta, D",2,1
3836,"Halpern, M",2,2
3834,"Halminen, O",2,1
3825,"Hakala, I",2,1
3824,"Hajjar, M",2,1
1395,"Butler-Henderson, K",2,1
9507,"Stegwee, R",2,4
7468,"Parapini, E",2,1
1369,"Bunk, W",2,1
3901,"Harrison, J",2,1
7424,"Pandina, G",2,1
7411,"Palsson, T",2,1
87,"Aguirre Ojea, F",2,1
3934,"Hastings, J",2,2
3928,"Hassen-Khodja, C",2,1
3924,"Hassanzadeh, M",2,1
7731,"Pierre, O",2,1
3922,"Hassandoust, F",2,1
3920,"Hass, U",2,1
1360,"Buldukoglu, K",2,1
3914,"Harðardóttir, G",2,1
7464,"Pappas, K",2,1
7425,"Pandyan, A",2,1
84,"Aguado, J",2,1
7430,"Panichelli, V",2,1
7437,"Pantazoglou, E",2,2
10655,"Weber, S",2,1
11269,"van der Plas, L",2,1
7451,"Papadimitriou, S",2,1
3903,"Harst, L",2,1
7454,"Papadopoulos, V",2,1
7509,"Pascual, M",2,2
7681,"Petrescu, M",2,2
4278,"Huo, X",2,2
9517,"Stekhoven, D",2,1
7653,"Pesonen, E",2,1
19,"Abd-Alrazaq, A",2,2
3695,"Guillot, L",2,1
1437,"Büchler, A",2,1
3690,"Guillen, S",2,1
3689,"Guillemin-Lanne, S",2,1
16,"Abanos, S",2,2
1439,"Büchner, T",2,2
1440,"Bühlmann, P",2,1
9566,"Stolz, W",2,1
1441,"Büller, H",2,1
3672,"Guardado, S",2,1
3662,"Grönemeyer, D",2,1
7638,"Perlich, A",2,3
1453,"Cabrera, A",2,1
5,"Aalaei, S",2,1
3,AP-HP Covid CDW Initiative,2,1
7620,"Perer, A",2,2
9578,"Stranieri, A",2,1
1458,"Caffi, E",2,2
7625,"Perez de la Camara, S",2,1
10623,"Warmbein, A",2,3
7654,"Pestana, O",2,1
3705,"Gulkesen, K",2,2
7558,"Pazos, A",2,4
9521,"Stempczyńska, J",2,3
3774,"Haase, J",2,1
36,"Abmayr, W",2,1
30,"Abedian, S",2,5
3760,"Gütl, C",2,1
7663,"Petersen, C",2,2
9532,"Stephenson, M",2,2
3750,"Güld, M",2,1
7555,"Payan, Y",2,1
3738,"Gôrranson, B",2,1
3709,"Guntinas-Lichius, O",2,2
11296,"Örman, H",2,1
10630,"Wartelle, A",2,1
3734,"Gómez-Cía, T",2,1
9541,"Sticchi, L",2,1
3724,"Guédria, W",2,1
10627,"Warren, D",2,1
1431,"Böttger, S",2,1
9547,"Stock, B",2,1
3711,"Guo, S",2,2
7407,"Palmer, R",2,3
7740,"Pigeot, I",2,1
1343,"Buchtela, D",2,4
7394,"Paladino, J",2,1
9333,"Soilemezi, C",2,1
4168,"Hofstetter, J",2,1
145,"Al-Shukri, S",2,1
144,"Al-Nawaiseh, S",2,1
7820,"Plötz, W",2,2
1259,"Brinkmann, A",2,1
10709,"Were, M",2,1
7255,"Olender, S",2,1
9337,"Soko, C",2,1
9339,"Sokolova, E",2,1
1265,"Brix, L",2,1
4153,"Hoelzer, S",2,3
4149,"Hochwarter, S",2,3
7815,"Ploessnig, M",2,1
7276,"Omaish, M",2,1
4684,"Kaka, H",2,1
4143,"Hoang, U",2,2
7278,"Omar, A",2,1
7283,"Oniani, S",2,1
4124,"Hippman, R",2,1
10696,"Wen, F",2,2
9331,"Sohn, Y",2,1
7241,"Ohno-Machado, L",2,1
7236,"Ohlmeier, C",2,1
160,"Albers, M",2,1
4269,"Humbert, M",2,1
4265,"Huet, B",2,1
1218,"Breant, S",2,1
4254,"Huang, L",2,2
7196,"O'Neil, M",2,1
4251,"Hu, X",2,2
9298,"Smidl, L",2,1
4240,"Hsieh, T",2,1
7204,"Oberfeld, J",2,1
4236,"Hrdlicka, J",2,1
9319,"So, E",2,1
1239,"Breu, M",2,1
1243,"Briançon, S",2,1
7831,"Pohl, P",2,1
9304,"Smith, G",2,1
9305,"Smith, J",2,2
1249,"Brieux, H",2,2
1250,"Briggs, J",2,2
7826,"Poelker, M",2,1
4200,"Honeck, M",2,1
7288,"Oosterwijk, H",2,1
4118,"Hinchley, A",2,1
4116,"Hilwig, H",2,1
4016,"Hellrung, N",2,2
4041,"Henningsohn, L",2,1
4039,"Henke, J",2,3
7772,"Piralic, A",2,1
4038,"Henke, E",2,6
9394,"Sousa, M",2,1
4034,"Hendriks, T",2,1
7765,"Pinto, P",2,1
7360,"Overhoff, H",2,2
98,"Ahmad, A",2,5
9404,"Spahni, S",2,5
4045,"Henriksen, G",2,1
97,"Ahlzén, K",2,1
7375,"Padilla, J",2,1
4001,"Heinze, M",2,2
10673,"Weininger, R",2,1
9414,"Spetsarias, A",2,1
1330,"Bréant, C",2,3
9417,"Spidlen, J",2,1
7380,"Pagani, J",2,1
10666,"Wei-Kleiner, F",2,1
10684,"Weisser, G",2,1
1305,"Brumini, G",2,1
4114,"Hillen, W",2,2
1295,"Bruandet, A",2,1
4110,"Hilka, M",2,2
9363,"Sommer, T",2,1
7299,"Orcamo, P",2,1
7795,"Placidi, G",2,2
4096,"Heywood, M",2,1
1292,"Brown, P",2,1
4086,"Hettinga, M",2,1
7308,"Orlova, N",2,1
1294,"Broënhorst, S",2,1
10689,"Weller, P",2,1
7344,"Otto, L",2,1
7789,"Pitz, M",2,1
4069,"Hernández, L",2,1
7321,"Orthuber, W",2,3
4067,"Hernando, M",2,1
7784,"Pitoglou, S",2,1
113,"Aineseder, M",2,1
10687,"Weiß, J",2,1
4057,"Hercigonja-Szekeres, M",2,4
9385,"Sotgiu, A",2,2
6966,"Neagu, A",2,3
4869,"Kazemi, H",2,1
9095,"Shamenek, F",2,1
434,"Atique, S",2,1
6424,"McInerney, C",2,1
6425,"McIntyre, A",2,1
6428,"McNair, P",2,6
5668,"Lenatti, M",2,2
6438,"Mebarki, A",2,1
6439,"Mechili, E",2,1
425,"Assélé Kama, A",2,1
8216,"Reinhardt, I",2,2
5648,"Leino-Kilpi, H",2,1
6456,"Meier, F",2,1
5644,"Leib, S",2,1
8211,"Reimer, N",2,2
742,"Bekiaris, E",2,1
8608,"Saeidnia, H",2,1
5633,"Lehmann, T",2,1
5631,"Legrand, B",2,1
10611,"Wang, S",2,1
8209,"Reid, P",2,1
6467,"Meinel, C",2,3
6472,"Meinshausen, N",2,1
413,"Ashraf, M",2,1
5597,"Leblanc, A",2,2
8630,"Salamanca, A",2,1
5670,"Leneveut, L",2,2
5675,"Lenz, R",2,4
5585,"Le Quilleuc, D",2,1
8591,"Sabatini, M",2,1
5755,"Lieser, M",2,1
8555,"Ruíz Romero, C",2,1
10960,"Yu, X",2,1
696,"Baysari, M",2,3
5736,"Liang, N",2,1
10957,"Yu, J",2,2
8566,"Rätsch, G",2,1
10956,"Yu, H",2,1
10954,"Yrttiaho, T",2,2
8246,"Resnick, M",2,1
5721,"Li, H",2,2
6385,"Mayorov, O",2,3
6392,"Mazzarello, G",2,1
5711,"Levi, L",2,1
719,"Bedouch, P",2,3
5699,"Letord, C",2,4
442,"Audeh, B",2,3
8234,"Renganathan, G",2,1
11084,"Zikos, D",2,4
6418,"McGilchrist, M",2,1
6420,"McGrath, C",2,1
5685,"Lerner, J",2,1
8589,"Sabatier, B",2,1
763,"Ben Kimoun, I",2,1
5573,"Le Bozec, C",2,2
7981,"Psutka, J",2,1
5486,"Landínez, S",2,1
805,"Berckmans, K",2,1
8174,"Ray, P",2,1
8676,"Sanchez, S",2,1
5477,"Lampoukas, E",2,1
5474,"Lamla, G",2,1
6542,"Metzger, A",2,1
6551,"Meyer, R",2,3
5472,"Lamelo Alfonsín, A",2,1
8679,"Sanchez-Martin, M",2,1
5469,"Lambrix, P",2,1
8680,"Sanchez-de-Madariaga, R",2,1
5466,"Lambert, P",2,1
809,"Berg, M",2,2
11111,"Zombori, D",2,1
5462,"Lalueza, A",2,1
8683,"Sandblad, B",2,1
8685,"Sandlund, M",2,1
6575,"Michel-Verkerke, M",2,3
8687,"Sandschin, W",2,1
8690,"Sangster-Gormley, E",2,2
8158,"Rathgeber, I",2,3
378,"Arizpe-Gomez, P",2,1
10899,"Yang, B",2,1
5482,"Landau, D",2,1
6535,"Mesika, Y",2,2
8191,"Redjdal, A",2,5
5489,"Langegård, U",2,2
8639,"Salgado, C",2,1
5571,"Le Bihan-Benjamin, C",2,1
11101,"Zinkernagel, A",2,1
6502,"Menis, J",2,1
5566,"Lazovic, D",2,2
8643,"Salinas, R",2,1
8187,"Recondo, F",2,2
8185,"Rebuge, A",2,1
5553,"Lavieri, R",2,1
402,"Arts, D",2,1
777,"Bender, T",2,2
401,"Artola, G",2,1
8179,"Read, J",2,1
784,"Benitez, S",2,5
6523,"Merlano, C",2,1
10915,"Yashin, A",2,2
6527,"Merolli, M",2,1
8668,"Samson, L",2,1
5502,"Laplanche, D",2,1
6528,"Mersmann, S",2,1
799,"Benítez, S",2,2
5494,"Langensiepen, C",2,1
6529,"Merson, L",2,1
5756,"Liew, A",2,3
5759,"Lilholt, L",2,1
6342,"Mateus, C",2,1
6184,"Manzotti, M",2,1
8423,"Roitman, H",2,3
595,"Barbié, V",2,1
596,"Barbosa, A",2,2
8337,"Rissanen, S",2,1
8336,"Risk, M",2,2
11041,"Zeplin, G",2,1
6016,"Löpprich, M",2,4
6205,"Marconi, R",2,1
522,"Bainbridge, M",2,1
6002,"Lääveri, T",2,2
519,"Baig, W",2,1
8434,"Romanet, J",2,1
11002,"Zana, I",2,1
8316,"Rimada Mora, D",2,2
11001,"Zamorro, M",2,1
8443,"Ronzano, F",2,1
10999,"Zamboni, N",2,1
6243,"Markwell, D",2,1
5972,"Lundin-Olsson, L",2,1
510,"Baez, P",2,1
11046,"Zetterberg, C",2,1
619,"Barros Castro, J",2,1
5955,"Lumbreras, C",2,1
535,"Balabaeva, K",2,4
6180,"Manyakov, N",2,1
8267,"Riaño, D",2,1
6034,"Mabotuwana, T",2,4
6143,"Mamzer, M",2,1
6133,"Malovini, A",2,1
546,"Balikuddembe, M",2,1
6126,"Malhotra, S",2,1
8371,"Robu, A",2,4
6145,"Manaswi, N",2,1
8360,"Roberts, J",2,4
8380,"Rochoy, M",2,1
571,"Bangels, M",2,1
6098,"Maia, M",2,1
572,"Bangerter, A",2,1
11022,"Zbinden, R",2,1
8386,"Rodrigues, P",2,5
8389,"Rodriguez, G",2,1
8390,"Rodriguez, K",2,2
576,"Bankhead, C",2,1
6077,"Maestro, G",2,1
6068,"Madsen, C",2,1
6157,"Manias, G",2,4
542,"Balcaen, T",2,1
6056,"Macintyrne, K",2,1
8346,"Rizand, P",2,1
6038,"MacCulloch, P",2,1
6249,"Marques, E",2,1
506,"Bae, J",2,1
5953,"Lulić, I",2,1
5950,"Lukkien, D",2,1
5837,"Livartowski, A",2,1
6312,"Mary, V",2,3
5834,"Liu, S",2,1
659,"Battmann, A",2,1
5824,"Lithari, C",2,1
8517,"Rubin, Y",2,1
472,"Azaouagh, A",2,1
8523,"Rubio-Mayo, P",2,2
669,"Bauer, B",2,2
6330,"Massad, E",2,1
469,"Ayora Pais, A",2,1
5803,"Lindén, M",2,1
5802,"Lindstädt, B",2,1
5797,"Lindoerfer, D",2,4
675,"Baum, A",2,4
8533,"Ruiz Garretas, V",2,1
10966,"Yun, B",2,1
5769,"Lim Choi Keung, S",2,3
5768,"Lillo-Lelouet, A",2,1
5767,"Lillo-Le Louët, A",2,1
5766,"Lillo-Le Louet, A",2,1
8548,"Russler, D",2,1
11068,"Zhou, B",2,1
657,"Battegay, M",2,1
8281,"Richards, B",2,6
5845,"Llamas Gómez, D",2,2
644,"Bassøe, C",2,1
5939,"Ludmann, D",2,3
6258,"Marsch, S",2,1
11052,"Zhang, C",2,1
632,"Bartz, C",2,3
8475,"Rosset, S",2,1
6266,"Martignene, N",2,2
6268,"Martin, D",2,3
8298,"Rieger, J",2,2
5904,"Lorenzo Bermejo, J",2,1
11054,"Zhang, P",2,1
5884,"Loosli, G",2,1
5846,"Llanos, L",2,1
647,"Bastião Silva, L",2,2
5877,"Lonari, S",2,1
495,"Bache, R",2,2
5873,"Lokaj, B",2,4
11057,"Zhao, J",2,1
492,"Bacelar, G",2,1
5861,"Lofti, A",2,1
6288,"Martinot, A",2,4
11060,"Zhao, U",2,1
8287,"Richter, P",2,3
377,"Arief, M",2,1
8154,"Rasmussen, S",2,2
5430,"Laczkó, J",2,1
4931,"Khodambashi, S",2,2
4927,"Khemka, S",2,1
4924,"Kharko, A",2,3
8970,"Seddig, T",2,1
8972,"Sedlazek, W",2,1
10823,"Woolley, S",2,2
6837,"Muro, N",2,1
8027,"Pöppl, S",2,3
8981,"Seete, H",2,1
4899,"Kergosien, Y",2,1
4898,"Keresztényi, Z",2,1
279,"Ancker, J",2,1
4895,"Kerassidis, F",2,1
8026,"Pölzl, G",2,2
4894,"Keramati, M",2,1
8025,"Póvoa, P",2,1
4890,"Kennelly, J",2,1
4887,"Kenealy, T",2,1
6864,"Määttälä, J",2,1
4876,"Keil, A",2,1
276,"Anastasiou, A",2,3
273,"Anani, N",2,2
6874,"Müller, G",2,1
8017,"Pálffy, P",2,1
8966,"Sebastião, M",2,1
8043,"Quaranta, J",2,2
8925,"Schut, M",2,2
299,"Andrade, A",2,1
8929,"Schwartze, J",2,1
6777,"Moström, D",2,1
5008,"Klemets, J",2,1
11145,"Zwetsloot-Schonk, J",2,2
319,"Angelova, G",2,1
5006,"Klema, J",2,1
966,"Black, A",2,2
6784,"Mouchet, A",2,1
5000,"Klein, F",2,1
314,"Andriuskevicius, E",2,1
4997,"Kleber, K",2,1
313,"Andrikopoulou, E",2,2
6789,"Mourad-Chehade, F",2,1
976,"Blanco García, F",2,1
4980,"Kissoon, N",2,1
4976,"Kis, J",2,1
6802,"Mucha, T",2,1
8952,"Schössow, J",2,2
8953,"Schønheyder, H",2,1
981,"Blaser, R",2,3
4955,"Kim, T",2,4
4954,"Kim, S",2,5
8956,"Schüpbach, R",2,1
6137,"Maman, Y",2,1
8993,"Seidl, K",2,1
8995,"Seifert, B",2,1
4856,"Kaushal, R",2,1
9035,"Seppälä, T",2,1
6935,"Napoli, A",2,1
245,"Amardeilh, F",2,1
4774,"Karaiskos, I",2,1
4768,"Karabela, E",2,1
1045,"Boiocchi, L",2,2
9056,"Serre, P",2,1
6944,"Nash, R",2,1
4741,"Kang, H",2,3
9063,"Setti, M",2,1
7988,"Puglisi, F",2,1
1055,"Bolin, P",2,1
1059,"Bolzonello, S",2,1
4728,"Kammeyer, G",2,1
7985,"Pugin, J",2,1
9071,"Seyfang, A",2,2
11184,"de Quirós, F",2,1
9077,"Shabo, A",2,2
10793,"Wiyartanti, L",2,1
4701,"Kallergi, M",2,1
4700,"Kaliukhovich, D",2,1
9088,"Shahraki, H",2,1
6954,"Naudet, Y",2,1
4785,"Karapetiantz, P",2,1
7992,"Pulido, J",2,1
7994,"Puniene, J",2,5
9012,"Selvaraju, V",2,1
8997,"Seim, A",2,3
6889,NFDI4Health Task Force COVID-19,2,2
4850,"Katzer, C",2,3
10298,"Van Hille, P",2,1
9001,"Seker, E",2,1
1017,"Bochum, S",2,1
1020,"Boda, K",2,1
6890,"Naber, R",2,1
8016,"Pàmies, M",2,1
1023,"Bodelle, B",2,1
9013,"Selver, M",2,2
9027,"Sent, D",2,4
8014,"Puttmann, D",2,1
8013,"Puts, S",2,2
6904,"Nagrani, R",2,1
6905,"Nagy, M",2,1
7998,"Puppe, F",2,3
256,"Amini, S",2,1
9024,"Senne, F",2,2
7995,"Punys, J",2,5
6926,"Namer, B",2,3
255,"Ameri, M",2,1
5015,"Klinkenbujl, J",2,1
957,"Bjelogrlic, M",2,9
8697,"Santos, M",2,1
5346,"Kuntz, P",2,1
8123,"Ramirez, S",2,2
8754,"Savin, I",2,1
10885,"Yalaoui, F",2,1
8764,"Saïd, M",2,1
6654,"Mitkas, P",2,2
356,"Aprile, G",2,1
875,"Bettiol, S",2,1
883,"Beuteführ, H",2,1
5283,"Kruisinga, F",2,1
6672,"Moelaert, F",2,1
5276,"Kron, B",2,1
887,"Bey, R",2,2
5257,"Kreuzthaler, M",2,11
5256,"Krestyaninova, M",2,1
6677,"Moga, M",2,2
6678,"Moga, V",2,2
5243,"Krawitz, P",2,1
5238,"Kraus, S",2,2
5234,"Krastev, E",2,3
896,"Bezerianos, A",2,6
6684,"Mohammadzadeh, Z",2,1
6692,"Moldes, R",2,1
5224,"Krabbe, C",2,1
8744,"Saunders, A",2,1
5348,"Kunz, H",2,1
5031,"Knitza, R",2,1
5350,"Kunzmann, U",2,1
8703,"Sanz, C",2,1
8146,"Rappelsberger, A",2,3
5417,"Künzi, J",2,1
5415,"Kühne, G",2,3
5413,"Küfner, J",2,1
6616,"Miller, B",2,1
8708,"Sarafidis, M",2,1
5399,"Kálmán, J",2,1
11118,"Zoulias, E",2,10
831,"Berlin, M",2,1
832,"Bermudez, A",2,1
6635,"Minne, L",2,1
833,"Bernad, E",2,6
5387,"Kwon, G",2,1
8130,"Ranasinghe, M",2,1
5373,"Kusuma, G",2,1
8730,"Sasseville, M",2,2
845,"Bernklau, A",2,1
849,"Bernstein, M",2,1
5361,"Kurniati, A",2,2
5358,"Kurdumova, N",2,1
10889,"Yamaguchi, N",2,1
5351,"Kuo, A",2,2
900,"Bhui, K",2,1
8805,"Schicho, K",2,1
8807,"Schießer, L",2,1
8808,"Schiffner, R",2,1
5105,"Kolstad, M",2,1
5103,"Kolominsky-Rabas, P",2,1
6743,"Moreno, P",2,1
5096,"Kollaja, L",2,2
8886,"Schramm, W",2,1
5093,"Koleva, S",2,1
5092,"Kolesa, P",2,2
6746,"Morfill, G",2,1
10855,"Wöhrl, S",2,1
6750,"Mori, A",2,2
8889,"Schreiber, R",2,2
8892,"Schrenzel, J",2,1
8895,"Schrom, H",2,1
8081,"Radke, D",2,2
8900,"Schuck, S",2,1
8074,"Racoceanu, D",2,1
8071,"Rabinovich, D",2,1
6770,"Mosier, J",2,1
5041,"Ko, R",2,1
8915,"Schulz, A",2,1
6773,"Mosquera, C",2,1
8918,"Schumacher, M",2,1
5033,"Knoblauch, B",2,1
6741,"Moreno, A",2,1
5108,"Komenda, M",2,2
8878,"Schopen, M",2,1
8831,"Schlieter, H",2,5
5212,"Kowalski, C",2,1
904,"Bianchi, S",2,1
10867,"Xie, B",2,1
5208,"Ković, I",2,1
5206,"Kovalchuk, S",2,3
5205,"Kovai, L",2,1
6707,"Mongelli, M",2,2
5196,"Kourtidou-Papadeli, C",2,1
8818,"Schirmer, S",2,1
