,universityf,citation_count,article_count
174,Aix-Marseille University,3,6
175,Johannes Gutenberg University Mainz  ,3,2
176,Purdue University Northwest,3,4
177,Aston University,3,1
178,Chemnitz University of Technology  ,3,1
179,Hannover University of Applied Sciences and Arts,3,1
180,Heidelberg University  ,3,2
181,Keele University,3,9
182,LMU Munich,3,3
183,Mittweida University of Applied Sciences,3,1
184,No Uni   ,3,4
185,Old Dominion University,3,1
186,Politecnico di Milano  ,3,3
187,École Polytechnique Fédérale de Lausanne,3,3
188,"University of California, San Francisco",2,3
189,Nottingham Trent University,2,1
190,University of Trento  ,2,2
191,University of Arizona,2,1
192,University of Trieste  ,2,4
193,Catholic University of Eichstätt-Ingolstadt,2,3
194,University of Ulster,2,5
195,Cornell University,2,3
196,Université Paris-Est Créteil,2,3
197,University of Edinburgh,2,4
198,University of Reims Champagne-Ardenne,2,3
199,University of Dundee,2,1
200,University of L'Aquila  ,2,2
201,University of Technology of Troyes,2,1
202,Windesheim University of Applied Sciences  ,2,1
203,University of Rostock  ,2,11
204,University of Tübingen,2,4
205,Manchester Metropolitan University,2,2
206,University of South Florida,2,1
207,Sheffield Hallam University,2,2
208,Free University of Berlin  ,1,6
209,University of Central Florida,1,3
210,University of Missouri,1,4
211,New Jersey Institute of Technology,1,1
212,ESIEE Paris,1,1
213,University of St Andrews,1,5
214,"University of California, Berkeley",1,3
215,London School of Hygiene & Tropical Medicine,1,6
216,University of Oldenburg  ,1,3
217,University of Ulm  ,1,4
218,Leeds Beckett University,1,1
219,Lancaster University,1,2
220,University of Turin  ,1,1
221,Amsterdam University of Applied Sciences  ,1,1
222,Johannes Gutenberg University Mainz,1,6
223,Grand Canyon University,1,1
224,Institut National des Sciences Appliquées de Lyon,1,3
225,University of Tennessee,1,1
226,Hochschule Niederrhein,1,3
227,University of Brest,1,2
228,University of South Carolina,1,1
229,University of London,1,1
230,University of Magdeburg  ,1,4
231,University of Würzburg  ,1,3
232,University of the West of England,1,2
233,University of Birmingham,1,9
234,University of Cologne  ,1,2
235,Brandenburg Medical School Theodor Fontane,1,1
236,Case Western Reserve University,1,1
237,Utrecht University  ,1,10
238,Catholic University of Applied Sciences Munich,1,1
239,TU Dortmund University,1,4
240,Centrale Lille,1,2
241,Reutlingen University  ,1,7
242,University of Hamburg,1,1
243,University of Giessen,1,3
244,University of St. Gallen,1,3
245,Oxford Brookes University,1,3
246,University of Cambridge,1,3
247,De Montfort University,1,3
248,Osnabrück University of Applied Sciences  ,1,3
249,University of Strasbourg,0,1
250,Duquesne University,0,1
251,University of Stirling,0,1
252,Université de Neuchâtel,0,1
253,Dortmund University of Applied Sciences and Arts,0,2
254,Grand Valley State University,0,1
255,Gustave Eiffel University,0,2
256,Wright State University,0,1
257,Brighton and Sussex Medical School,0,1
258,HTW Saar,0,1
259,Drexel University,0,1
260,University of Texas Southwestern Medical Center,0,1
261,HAN University of Applied Sciences  ,0,1
262,HTW Berlin,0,1
263,University of Stuttgart  ,0,1
264,Berlin School of Economics and Law,0,1
265,Goethe University Frankfurt,0,2
266,University of Verona,0,1
267,Universität Ulm  ,0,1
268,Université Polytechnique Hauts-de-France,0,1
269,Université Catholique de Lille,0,2
270,Université PSL,0,2
271,University of Veterinary Medicine Hannover  ,0,1
272,Frankfurt University of Applied Sciences,0,1
273,Clemson University,0,3
274,Free University of Bolzano-Bozen  ,0,1
275,Furtwangen University,0,2
276,University of Brescia  ,0,1
277,CentraleSupélec,0,1
278,George Mason University,0,2
279,Fordham University,0,1
280,Université Paris-Sud,0,2
281,Université Paul-Valéry,0,4
282,Dresden University of Technology  ,0,2
283,Catholic University of the Sacred Heart  ,0,2
284,University of Tours,0,3
285,University of Toulouse 1 Capitole,0,1
286,Georgetown University,0,1
287,Inholland University of Applied Sciences  ,0,1
288,University of Southern California,0,2
289,University of Southampton,0,1
290,University of Lincoln,0,1
291,"University of California, Los Angeles",0,1
292,Oregon Health & Science University,0,1
293,University of Kent,0,1
294,University of Kansas,0,1
295,University of Hertfordshire,0,2
296,Queen's University Belfast,0,8
297,RWTH Aachen University,0,3
298,University of Hannover  ,0,1
299,Robert Gordon University,0,1
300,University of Groningen  ,0,1
301,"Royal Holloway, University of London",0,1
302,University of Greifswald  ,0,2
303,Rutgers University,0,2
304,Santa Clara University,0,1
305,University of Glamorgan,0,1
306,Southern Illinois University,0,1
307,Swansea University,0,1
308,Technische Hochschule Augsburg  ,0,1
309,Technische Universität Berlin  ,0,2
310,Technische Universität Darmstadt  ,0,1
311,Technische Universität Ilmenau  ,0,1
312,University of Eastern Piedmont  ,0,1
313,Texas Tech University,0,1
314,Tilburg University  ,0,1
315,University of Colorado,0,1
316,University Clermont Auvergne,0,1
317,University Côte d'Azur,0,1
318,University of Chicago,0,1
319,University of Lyon,0,2
320,New York University,0,1
321,University of Magna Graecia  ,0,1
322,Justus Liebig University Giessen and Philipps University of Marburg,0,1
323,Hannover Medical School  ,0,3
324,University of Salford,0,2
325,University of Bari Aldo Moro  ,0,1
326,University of Rouen Normandie,0,3
327,Heilbronn University  ,0,1
328,Hochschule Hannover,0,2
329,Humboldt University of Berlin,0,1
330,IMT Atlantique,0,2
331,University of Central Lancashire,0,2
332,University of Plymouth,0,3
333,Institut Polytechnique de Paris,0,1
334,University of Pisa  ,0,1
335,University of Picardie Jules Verne,0,1
336,University of Padua  ,0,2
337,University of Maryland,0,1
338,University of Osnabrück  ,0,1
339,Kiel University,0,9
340,University of Calabria  ,0,1
341,University of Notre Dame,0,1
342,University of North Texas,0,1
343,University of North Carolina,0,1
344,University of Nice,0,5
345,Lehigh University,0,1
346,University of Nantes,0,2
347,Martin Luther University Halle-Wittenberg  ,0,3
348,University of California,0,2
349,Mittweida University of Applied Sciences  ,0,1
350,Münster University of Applied Sciences,0,2
351,University of Bologna  ,0,6
